period,y
2022-11-11 23:00:00,456403
2022-11-12 00:00:00,458842
2022-11-12 01:00:00,455111
2022-11-12 02:00:00,448035
2022-11-12 03:00:00,438165
2022-11-12 04:00:00,423575
2022-11-12 05:00:00,407733
2022-11-12 06:00:00,391946
2022-11-12 07:00:00,380523
2022-11-12 08:00:00,371648
2022-11-12 09:00:00,368426
2022-11-12 10:00:00,367114
2022-11-12 11:00:00,370072
2022-11-12 12:00:00,377962
2022-11-12 13:00:00,390450
2022-11-12 14:00:00,407667
2022-11-12 15:00:00,422692
2022-11-12 16:00:00,431735
2022-11-12 17:00:00,433738
2022-11-12 18:00:00,432831
2022-11-12 19:00:00,429371
2022-11-12 20:00:00,425596
2022-11-12 21:00:00,424167
2022-11-12 22:00:00,426580
2022-11-12 23:00:00,434299
2022-11-13 00:00:00,441559
2022-11-13 01:00:00,443879
2022-11-13 02:00:00,441392
2022-11-13 03:00:00,434728
2022-11-13 04:00:00,424344
2022-11-13 05:00:00,412652
2022-11-13 06:00:00,400551
2022-11-13 07:00:00,391704
2022-11-13 08:00:00,386640
2022-11-13 09:00:00,383907
2022-11-13 10:00:00,383295
2022-11-13 11:00:00,385696
2022-11-13 12:00:00,392629
2022-11-13 13:00:00,405338
2022-11-13 14:00:00,421601
2022-11-13 15:00:00,431709
2022-11-13 16:00:00,433755
2022-11-13 17:00:00,431803
2022-11-13 18:00:00,430254
2022-11-13 19:00:00,426322
2022-11-13 20:00:00,423143
2022-11-13 21:00:00,421360
2022-11-13 22:00:00,426059
2022-11-13 23:00:00,442564
2022-11-14 00:00:00,458010
2022-11-14 01:00:00,464294
2022-11-14 02:00:00,465169
2022-11-14 03:00:00,458144
2022-11-14 04:00:00,445321
2022-11-14 05:00:00,431529
2022-11-14 06:00:00,420080
2022-11-14 07:00:00,413483
2022-11-14 08:00:00,408813
2022-11-14 09:00:00,406731
2022-11-14 10:00:00,409515
2022-11-14 11:00:00,424603
2022-11-14 12:00:00,453854
2022-11-14 13:00:00,479164
2022-11-14 14:00:00,486772
2022-11-14 15:00:00,486105
2022-11-14 16:00:00,483185
2022-11-14 17:00:00,477828
2022-11-14 18:00:00,472994
2022-11-14 19:00:00,468234
2022-11-14 20:00:00,465061
2022-11-14 21:00:00,463475
2022-11-14 22:00:00,467407
2022-11-14 23:00:00,482210
2022-11-15 00:00:00,495402
2022-11-15 01:00:00,498169
2022-11-15 02:00:00,493910
2022-11-15 03:00:00,482880
2022-11-15 04:00:00,465371
2022-11-15 05:00:00,446277
2022-11-15 06:00:00,431591
2022-11-15 07:00:00,420761
2022-11-15 08:00:00,413169
2022-11-15 09:00:00,410343
2022-11-15 10:00:00,412003
2022-11-15 11:00:00,422899
2022-11-15 12:00:00,446959
2022-11-15 13:00:00,471003
2022-11-15 14:00:00,481377
2022-11-15 15:00:00,487658
2022-11-15 16:00:00,491140
2022-11-15 17:00:00,490109
2022-11-15 18:00:00,486022
2022-11-15 19:00:00,482362
2022-11-15 20:00:00,479769
2022-11-15 21:00:00,477515
2022-11-15 22:00:00,484224
2022-11-15 23:00:00,491046
2022-11-16 00:00:00,500711
2022-11-16 01:00:00,502450
2022-11-16 02:00:00,498935
2022-11-16 03:00:00,487804
2022-11-16 04:00:00,470642
2022-11-16 05:00:00,451614
